name,country,state,city,logo,rulesets,website,wftdaWebsite,tags,isDeleted,lat,lng
Blue Ridge Roller Derby,us,,"Asheville, NC, us",/img/leagues/WFTDA/Blue-Ridge-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/blue-ridge-roller-derby/,[],FALSE,35.595363,-82.5508407
Boston Roller Derby,us,,"Boston, MA, us",/img/leagues/WFTDA/boston-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/boston-roller-derby/,[],FALSE,42.3554334,-71.060511
Boulder County Roller Derby,us,,"Boulder, CO, us",/img/leagues/WFTDA/Boulder-County-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/boulder-county-roller-derby/,[],FALSE,40.102555,-105.3632079
Brandywine Roller Derby,us,,"Downingtown, PA, us",/img/leagues/WFTDA/brandywine-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/brandywine-roller-derby/,[],FALSE,40.0064958,-75.7032742
Brewcity Bruisers,us,,"Milwaukee, WI, us",/img/leagues/WFTDA/brewcity.png,WFTDA,,https://wftda.com/wftda-leagues/brewcity-bruisers/,[],FALSE,43.0386475,-87.9090751
Brussels Roller Derby,be,,"Brussels, be",/img/leagues/WFTDA/Brussels-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/brussels-roller-derby/,[],FALSE,50.8465573,4.351697
Burning River Roller Derby,us,,"Cleveland, OH, us",/img/leagues/WFTDA/Burning-River-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/burning-river-roller-derby/,[],FALSE,41.4996574,-81.6936772
Calgary Roller Derby,ca,,"Calgary, AB, ca",/img/leagues/WFTDA/Calgary-Roller-Derby--e1532363460143.png,WFTDA,,https://wftda.com/wftda-leagues/calgary-roller-derby/,[],FALSE,51.0456064,-114.057541
Canberra Roller Derby League,au,,"Canberra, ACT, au",/img/leagues/WFTDA/canberra-roller-derby-league.png,WFTDA,,https://wftda.com/wftda-leagues/canberra-roller-derby-league/,[],FALSE,-35.2975906,149.1012676
Cape Fear Roller Derby,us,,"Wilmington, NC, us",/img/leagues/WFTDA/Cape-Fear-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/cape-fear-roller-derby/,[],FALSE,34.2352853,-77.9487284
Carolina Roller Derby,us,,"Raleigh, NC, us",/img/leagues/WFTDA/Carolina-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/carolina-roller-derby/,[],FALSE,35.7803977,-78.6390989
